Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Basefoot_link,0.000149481705181143,-0.000120539934039043,0.152123091903942,0,0,0,11.8730395253421,0.214418008302521,0.00025722594309037,-0.000128094787917376,0.258151038948936,0.000103270085259101,0.450008991346858,0,0,0,0,0,0,package://autoxing/meshes/Basefoot_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/Basefoot_link.STL,,khung đế-1;đế-đỡ-1;vo1-1;motor-2;motor-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,0.000149481705181087,-0.000120539934038988,0.152123091903942,0,0,0,11.8730395253421,0.214418008302521,0.000257225943090376,-0.000128094787917382,0.258151038948936,0.000103270085259103,0.450008991346858,0,0,0,0,0,0,package://autoxing/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/base_link.STL,,vo1-1;đế-đỡ-1;khung đế-1;motor-2;motor-1,base_link,Axis_base_link_it,base_link_it,fixed,0,0,0,0,0,0,Basefoot_link,0,0,0,,,,,,,,,,,,
wheel_left,-1.38777878078145E-16,-7.97972798949331E-17,0.0399999999999999,0,0,0,1.28203160205244,0.00231577757345468,0,-1.0842021724855E-19,0.00231577757345468,3.44497564071185E-19,0.00362433959821745,0,0,0,0,0,0,package://autoxing/meshes/wheel_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/wheel_left.STL,,bigwheel-2,left_wheel,Axis4,wheel_left_joint,continuous,0,0.120461283375568,0,-1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_right,-1.38777878078145E-17,1.04083408558608E-17,0.0399999999999999,0,0,0,1.28203160205244,0.00231577757345468,-2.35445380834644E-19,-5.42101086242752E-19,0.00231577757345468,3.14553625896765E-19,0.00362433959821745,0,0,0,0,0,0,package://autoxing/meshes/wheel_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/wheel_right.STL,,bigwheel-1,right_wheel,Axis4,wheel_right_joint,continuous,0,-0.120461283375569,0,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
casterhub_front_left,0.00631384572851573,-0.00939402891827468,-7.51390670640402E-05,0,0,0,0.0507301916211751,2.13076622334858E-05,-4.77213305526971E-12,-2.15459256741868E-07,2.12936580660824E-05,-3.18977689924232E-11,9.21167172411273E-06,0,0,0,0,0,0,package://autoxing/meshes/casterhub_front_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/casterhub_front_left.STL,,casterhub-2,Coordinate System12,Axis6,casterhub_front_left_joint,continuous,0.191588642505787,0.15140857130743,0.00300000000000051,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_lf,2.77555756156289E-17,3.46944695195361E-17,0.0275000000000001,0,0,0,0.17460228082973,0.000104635302988195,8.06501097239202E-24,1.01643953670516E-20,0.000104635302988195,-4.4043231715386E-21,9.93225317269919E-05,0,0,0,0,0,0,package://autoxing/meshes/wheel_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/wheel_lf.STL,,casterwheel-3,Coordinate System8,Axis3,wheel_lf_joint,continuous,-0.0185912035639785,-0.036894016223973,-0.0450000000000003,-1.5707963267949,0,0,casterhub_front_left,0,0,-1,,,,,,,,,,,,
casterhub_front_right,0.00631384572851623,0.00939400352967251,-7.51390670643212E-05,0,0,0,0.0507301916211753,2.13076622334862E-05,-4.77213305950488E-12,-2.15459256741885E-07,2.12936580660827E-05,-3.18977689801435E-11,9.21167172411275E-06,0,0,0,0,0,0,package://autoxing/meshes/casterhub_front_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/casterhub_front_right.STL,,casterhub-4,Coordinate System11,Axis8,casterhub_front_right_joint,continuous,0.191588642505786,-0.151408571307431,0.00300000000000041,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_rf,-5.55111512312578E-17,-2.77555756156289E-17,0.0275,0,0,0,0.17460228082973,0.000104635302988195,-1.04348834273564E-21,1.01643953670516E-20,0.000104635302988195,4.48952277463156E-21,9.9322531726992E-05,0,0,0,0,0,0,package://autoxing/meshes/wheel_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/wheel_rf.STL,,casterwheel-1,Coordinate System7,Axis3,wheel_rf_joint,continuous,-0.0185912035639783,0.0368940162239737,-0.0450000000000001,1.5707963267949,0,0,casterhub_front_right,0,0,1,,,,,,,,,,,,
casterhub_back_left,-0.00631384572595789,-0.00939400352571207,-7.51390691109341E-05,0,0,0,0.0507301916238285,2.13076622385357E-05,-4.77268549693417E-12,2.15459261528354E-07,2.12936580714444E-05,3.1905636636586E-11,9.21167172497116E-06,0,0,0,0,0,0,package://autoxing/meshes/casterhub_back_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/casterhub_back_left.STL,,casterhub-1,Coordinate System10,Axis7,casterhub_back_left_joint,continuous,-0.191588642505784,0.15140857130743,0.00300000000000039,0,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_lb,5.55111512312578E-17,2.42861286636753E-17,0.0275,0,0,0,0.17460228082973,0.000104635302988195,-5.48420746122657E-22,-1.35525271560688E-20,0.000104635302988195,-2.70694855457978E-21,9.9322531726992E-05,0,0,0,0,0,0,package://autoxing/meshes/wheel_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/wheel_lb.STL,,casterwheel-4,Coordinate System5,Axis2,wheel_lb_joint,continuous,0.0185912035639781,-0.0368940162239735,-0.0450000000000004,-1.5707963267949,0,0,casterhub_back_left,0,0,-1,,,,,,,,,,,,
casterhub_back_right,-0.00631384572595783,0.00939402892223568,-7.51390691110208E-05,0,0,0,0.0507301916238286,2.1307662238536E-05,-4.77268550032231E-12,2.15459261528391E-07,2.12936580714447E-05,3.19056366466023E-11,9.21167172497116E-06,0,0,0,0,0,0,package://autoxing/meshes/casterhub_back_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autoxing/meshes/casterhub_back_right.STL,,casterhub-3,Coordinate System9,Axis5,casterhub_back_right_joint,continuous,-0.191588642505784,-0.151408571307431,0.00300000000000018,0,0,0,base_link,0,0,1,,,,,,,,,,,,
