Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Basefoot_link,0.00014948,-0.00012054,0.15212,0,0,0,11.873,0.21442,0.00025723,-0.00012809,0.25815,0.00010327,0.45001,0,0,0,0,0,0,package://ax6112/meshes/Basefoot_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ax6112/meshes/Basefoot_link.STL,,vo1-1;khung đế-1;đế-đỡ-1;motor-1;motor-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
chassis,0.00014948,-0.00012054,0.15212,0,0,0,11.873,0.21442,0.00025723,-0.00012809,0.25815,0.00010327,0.45001,0,0,0,0,0,0,package://ax6112/meshes/chassis.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ax6112/meshes/chassis.STL,,vo1-1;đế-đỡ-1;khung đế-1;motor-2;motor-1,base_link,Axis_base_link_it,base_link_it,fixed,0,0,0,0,0,0,Basefoot_link,0,0,0,,,,,,,,,,,,
wheel_left,-1.3878E-16,-7.9797E-17,0.04,0,0,0,1.282,0.0023158,1.3235E-23,-1.0842E-19,0.0023158,3.445E-19,0.0036243,0,0,0,0,0,0,package://ax6112/meshes/wheel_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ax6112/meshes/wheel_left.STL,,bigwheel-2,left_wheel,Axis4,wheel_left_joint,continuous,0,0.120461283375568,0,-1.5707963267949,0,0,chassis,0,0,1,,,,,,,,,,,,
wheel_right,-1.38777878078145E-17,1.04083408558608E-17,0.0399999999999999,0,0,0,1.28203160205244,0.00231577757345468,-2.35432145944843E-19,-5.42101086242752E-19,0.00231577757345468,3.14553625896765E-19,0.00362433959821745,0,0,0,0,0,0,package://ax6112/meshes/wheel_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6112/meshes/wheel_right.STL,,bigwheel-1,right_wheel,Axis4,wheel_right_joint,continuous,0,-0.120461283375569,0,1.5707963267949,0,0,chassis,0,0,-1,,,,,,,,,,,,
casterhub_front_left,-9.4951E-05,-1.2694E-08,-7.5139E-05,0,0,0,0.05073,2.1308E-05,-4.7721E-12,-2.1546E-07,2.1294E-05,-3.1898E-11,9.2117E-06,0,0,0,0,0,0,package://ax6112/meshes/casterhub_front_left.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ax6112/meshes/casterhub_front_left.STL,,casterhub-2,Coordinate System12,Axis6,casterhub_front_left_joint,continuous,0.18358,0.12825,0.003,0,0,0,chassis,0,0,1,,,,,,,0.1,0,,,,
wheel_lf,-1.027E-14,-3.0212E-14,0.0275,0,0,0,0.1746,0.00010464,9.3058E-23,6.7763E-21,0.00010464,-1.4749E-20,9.9323E-05,0,0,0,0,0,0,package://ax6112/meshes/wheel_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ax6112/meshes/wheel_lf.STL,,casterwheel-3,Coordinate System8,Axis3,wheel_lf_joint,continuous,-0.025,-0.0275,-0.045,-1.5708,0,0,casterhub_front_left,0,0,-1,,,,,,,,0,,,,
casterhub_front_right,-9.49507074957112E-05,-1.26943134892699E-08,-7.51390670872647E-05,0,0,0,0.0507301916211752,2.13076622334861E-05,-4.77213305781081E-12,-2.15459256741866E-07,2.12936580660826E-05,-3.18977689785033E-11,9.21167172411274E-06,0,0,0,0,0,0,package://ax6112/meshes/casterhub_front_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6112/meshes/casterhub_front_right.STL,,casterhub-4,Coordinate System11,Axis8,casterhub_front_right_joint,continuous,0.183575080281241,-0.12825253038952,0.00300000000002345,0,0,0,chassis,0,0,1,,,,,,,0.1,0,,,,
wheel_rf,-2.1483E-14,-5.8228E-14,0.0275,0,0,0,0.1746,0.00010464,9.1486E-22,1.0164E-20,0.00010464,1.0981E-20,9.9323E-05,0,0,0,0,0,0,package://ax6112/meshes/wheel_rf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ax6112/meshes/wheel_rf.STL,,casterwheel-1,Coordinate System7,Axis3,wheel_rf_joint,continuous,-0.025,0.0275,-0.045,1.5708,0,0,casterhub_front_right,0,0,1,,,,,,,,0,,,,
casterhub_back_left,9.49507100107549E-05,1.26982629966577E-08,-7.51390691106912E-05,0,0,0,0.0507301916238286,2.13076622385359E-05,-4.77268550032231E-12,2.15459261528366E-07,2.12936580714446E-05,3.19056366249557E-11,9.21167172497113E-06,0,0,0,0,0,0,package://ax6112/meshes/casterhub_back_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6112/meshes/casterhub_back_left.STL,,casterhub-1,Coordinate System10,Axis7,casterhub_back_left_joint,continuous,-0.18358,0.12825,0.003,0,0,0,chassis,0,0,1,,,,,,,0.1,0,,,,
wheel_lb,-5.812E-14,-3.0653E-14,0.0275,0,0,0,0.1746,0.00010464,-1.072E-21,1.3553E-20,0.00010464,-1.3811E-20,9.9323E-05,0,0,0,0,0,0,package://ax6112/meshes/wheel_lb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ax6112/meshes/wheel_lb.STL,,casterwheel-4,Coordinate System5,Axis2,wheel_lb_joint,continuous,0.025,-0.0275,-0.045,-1.5708,0,0,casterhub_back_left,0,0,-1,,,,,,,,0,,,,
